"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Gene"
"PMAIP1" -1.07350769616821 7.74270079074198 -5.84041074967592 3.20486527231167e-07 4.01266242257093e-06 6.29957493050622 "PMAIP1"
"MT-ND5" -1.07057719783547 8.58613010494844 -8.11672963969496 7.07576983807441e-11 3.45156052701270e-09 14.5753543859153 "MT-ND5"
"NUAK2" -1.06889147889605 3.30399433028255 -9.35789807748328 7.80406287114594e-13 6.99783431717829e-11 19.0184551484064 "NUAK2"
"ADAMTS1" 1.06798607671834 3.95408843230634 5.01841923528395 6.17338153092111e-06 4.81665948621772e-05 3.41494150116902 "ADAMTS1"
"ALDOC" -1.06307622070097 3.43414334796772 -7.53677608870562 6.02710512599719e-10 2.05308790535016e-08 12.4646702928971 "ALDOC"
"SNORA81" -1.05753716617276 3.6491733218688 -7.00088057725592 4.40432407976438e-09 1.08069883607096e-07 10.5069564483054 "SNORA81"
"MT-ATP6" -1.05696649053489 8.80057227627053 -7.14246914227757 2.60322895328959e-09 6.88641585365869e-08 11.0242965404726 "MT-ATP6"
"NAV2" -1.05625412701482 6.21113361890682 -13.7345238749602 3.9112264225825e-19 6.81391517477052e-16 33.2608097278983 "NAV2"
"IER5" -1.04285641508944 7.43543792818521 -10.1248024557416 5.18788830348715e-14 7.10857279337369e-12 21.6894297614579 "IER5"
"IER2" -1.04264519359373 6.26588520047969 -7.27095512837142 1.61558223174086e-09 4.64670408398108e-08 11.4938135628236 "IER2"
"MT-ND2" -1.03679612257092 8.02815660930147 -6.78549943975691 9.79917235201754e-09 2.11132344227657e-07 9.72058462903704 "MT-ND2"
"TGFA" -1.03380685843423 4.06730897842087 -6.97041217542019 4.93198012559082e-09 1.18630172843353e-07 10.3956578297015 "TGFA"
"ETV5" -1.03227052940849 6.4884443979246 -7.02105423221845 4.08639936464042e-09 1.00877814274878e-07 10.5806561762704 "ETV5"
"DNMBP" -1.03181579339296 6.11732807075024 -9.64824448402326 2.77543859341743e-13 2.96898891637944e-11 20.037313545511 "DNMBP"
"EREG" -1.02702813511998 2.53519464558721 -5.03418622943824 5.83913772249404e-06 4.60001838022059e-05 3.46901030806338 "EREG"
"FOXO1" -1.0248929754889 4.73336765726912 -9.64046057652516 2.85310839016574e-13 3.02553537548445e-11 20.0101165344881 "FOXO1"
"TAGLN" 1.01920201071993 6.14968585230636 8.09186762445165 7.75359385264476e-11 3.72264082807098e-09 14.4851905141682 "TAGLN"
"KLF6" -1.01602414547591 5.90144274277602 -10.4834028051833 1.49411812278814e-14 2.53066257047241e-12 22.9150046239226 "KLF6"
"LACC1" -1.01591515941618 3.42892753622352 -9.44309969537348 5.75666676728039e-13 5.44205823464995e-11 19.3183581200146 "LACC1"
"HSPA6" -1.01396190750859 2.91486345990481 -7.47239208416825 7.65167989332361e-10 2.52195233240761e-08 12.2296329609752 "HSPA6"
